datetime,caissiere_id,client_id,type,ean,nom,pu,qte
2025-09-25 09:22:41,37,473.0,VRAC,,BL.PECHE NECTARINE,8.95,1.47
2025-09-25 09:22:41,37,473.0,PRODUIT,3396411218514,Chocolat noir amandes caramél,7.52,3.0
2025-09-25 09:22:41,37,473.0,PRODUIT,3596710423842,AUCHAN SAUCE NEMS,1.2,2.0
2025-09-25 09:22:41,37,473.0,PRODUIT,3438910867845,75IGP OC RG CAB SAUV BY HAUN BY HAUSSMAN 14,3.35,4.0
2025-09-25 09:22:41,37,473.0,VRAC,,Radis Noir,3.3,1.25
2025-09-25 09:22:41,37,473.0,VRAC,,POTIMARRON,2.79,2.23
2025-09-25 09:22:41,37,473.0,PRODUIT,3111950001812,POIS CASSES POLY,1.71,1.0
2025-09-25 09:22:41,37,473.0,PRODUIT,3250393445422,EUF FROMAGE X6,6.17,2.0
2025-09-25 09:22:41,37,473.0,VRAC,,KAKI AOP,1.09,0.38
2025-09-25 09:22:41,37,473.0,PRODUIT,3245412542831,SARDINES HUI.OLIVE CARREFOUR CLASSIC,1.64,3.0
2025-09-25 09:22:41,37,473.0,PRODUIT,8710908481598,PERSIL LESSIVE DILUEE EFFICACITE AUTHENTIQUE 37 LAV 2.59L,5.99,5.0
2025-09-25 09:22:41,37,473.0,PRODUIT,3270190178460,TOMATES ENT.PELEES,3.92,2.0
2025-09-25 09:22:41,37,473.0,PRODUIT,8720182729781,3X75ML DENT 18 COMPLET SIGNAL,4.75,5.0
2025-09-25 09:22:41,37,473.0,PRODUIT,3038350263605,PANZANI PATES FANTAISIES FUSIL,1.4,1.0
2025-09-25 09:22:41,37,473.0,PRODUIT,3036812020681,CR.CHAMP.CREMEUSE,2.38,3.0
2025-09-25 09:22:41,37,473.0,PRODUIT,3263670003017,FILETS SARDINES  AU NATUREL,3.66,1.0
2025-09-25 09:22:41,37,473.0,VRAC,,POMME CHANTELOR,3.79,1.16
2025-09-25 09:22:41,37,473.0,VRAC,,COURGE SPAGHETTI,3.35,0.4
2025-09-25 09:25:21,22,,PRODUIT,7610036002829,100G TAB.NOIR ECORCE ORANGE,3.19,3.0
2025-09-25 09:27:09,15,267.0,VRAC,,POULE PAC,2.26,2.32
2025-09-25 09:27:09,15,267.0,VRAC,,Oignon rouge,4.78,2.05
2025-09-25 09:27:09,15,267.0,PRODUIT,3760091729019,CAFE MOULU HONDURAS BIO KG,14.51,4.0
2025-09-25 09:27:09,15,267.0,VRAC,,BANANE CAVENDISH,2.24,0.43
2025-09-25 09:27:09,15,267.0,VRAC,,FRUIT DE LA PASSION,12.42,1.93
2025-09-25 09:27:09,15,267.0,PRODUIT,3281780893915,TABOULE ORIENT HUILE,1.91,2.0
2025-09-25 09:27:09,15,267.0,PRODUIT,3302749896027,FM JBON SUP DD 4T 14,3.05,5.0
2025-09-25 09:27:09,15,267.0,PRODUIT,5013665115571,HIVLE EARTH DEUR GOTT DIV,4.93,4.0
2025-09-25 09:27:09,15,267.0,PRODUIT,3468310000221,JAMBON CUIT DE MONTAGNE AU KG,27.04,1.0
2025-09-25 09:27:09,15,267.0,PRODUIT,3335880004990,Tikka Masala légumes,5.05,1.0
2025-09-25 09:27:09,15,267.0,PRODUIT,3760020509316,FUSILLI EXPRESS,2.36,1.0
2025-09-25 09:27:09,15,267.0,PRODUIT,3564700604083,RACLET LAIT ENT 29%,3.69,1.0
2025-09-25 09:27:09,15,267.0,PRODUIT,3564700379592,RIZ AU LAIT VANILLE 4X115G MR,0.99,2.0
2025-09-25 09:27:09,15,267.0,PRODUIT,8711327681507,CÔNE NOISET&CHOCOLAT MAGNIIM X4,7.17,4.0
2025-09-25 09:27:09,15,267.0,PRODUIT,3613550002690,CYTHEREE BLANCHE DU PACIFIQUE,5.6,1.0
2025-09-25 09:27:09,15,267.0,PRODUIT,3329489901026,HUILE D'OLIVE VIERGE EXTRA DOUCE,8.99,3.0
2025-09-25 09:27:09,15,267.0,PRODUIT,0203122000000,DORADE ROYALE,6.06,1.0
2025-09-25 09:27:09,15,267.0,VRAC,,CHOU BLANC,2.49,2.3
2025-09-25 09:27:09,15,267.0,PRODUIT,3336770004335,SIROP BIG PECHE BIO,7.5,3.0
2025-09-25 09:27:09,15,267.0,PRODUIT,3760171891261,LENTILLES VERTES,4.67,1.0
2025-09-25 09:27:09,15,267.0,PRODUIT,3770008430013,Ibex Cabin Fever IPA,3.0,2.0
2025-09-25 09:29:44,42,,PRODUIT,3302740047176,JAMBON SIMPLEMENT BON SC 8TR,3.79,2.0
2025-09-25 09:29:44,42,,PRODUIT,3110846261200,OEUF CHOC.NR GARNI REVIL.250G,9.23,5.0
2025-09-25 09:29:44,42,,PRODUIT,3270190113508,PET 1.5L EAU SCE AUV CRF CLASS,0.27,4.0
2025-09-25 09:29:44,42,,PRODUIT,3250391892181,IDS 6 WRAPS 370GRS,2.35,4.0
2025-09-25 09:29:44,42,,VRAC,,CLEMENTINE CORSE FINE,7.49,0.67
2025-09-25 09:29:44,42,,PRODUIT,3250390011859,PAT LAIT FRAIS 1/2EC BT 1L,0.85,1.0
2025-09-25 09:29:44,42,,PRODUIT,3256227111600,FROM.FR.CHEVRE 20% U BIO 140G,3.99,4.0
2025-09-25 09:29:44,42,,PRODUIT,3564706764491,MINI POTS COOKIE DOUGH X4 MR,3.99,1.0
2025-09-25 09:29:44,42,,PRODUIT,3222471018118,CACAHUETE GRILL.A SEC,1.45,1.0
2025-09-25 09:29:44,42,,PRODUIT,3428274050120,LT UHT 1/2E.BIO LACT. BLE6X25CL,5.38,3.0
2025-09-25 09:29:44,42,,PRODUIT,3178530421224,300G MADELEINE FOURREE FRAMB.,4.8,2.0
2025-09-25 09:34:37,44,,PRODUIT,3250391733514,MONPTIT YAB BA.FSE PE.AB8X100G,3.01,1.0
2025-09-25 09:34:37,44,,PRODUIT,3425471317278,Confiture Fraise moins sucree,4.19,2.0
2025-09-25 09:34:37,44,,PRODUIT,3033490004583,VELOUTE NATURE 125G X4,1.6,4.0
2025-09-25 09:34:37,44,,PRODUIT,3596710360123,AUCHAN BIO MINI CAKES PEPITES,2.4,5.0
2025-09-25 09:34:37,44,,VRAC,,NOIX MTC ADP,3.99,0.97
2025-09-25 09:34:37,44,,VRAC,,CAROTTE LITEE,2.52,2.41
2025-09-25 09:34:37,44,,PRODUIT,5410188029475,TPP ORANGE SANS PULPE BRICK 1L,1.89,1.0
2025-09-25 09:34:37,44,,PRODUIT,3050070004047,SCORPIO DEO ATO ROUGE 150,3.36,2.0
2025-09-25 09:34:37,44,,PRODUIT,3266191106397,TABLETTE CHOCOLAT NOIR 85%,3.39,2.0
2025-09-25 09:34:37,44,,PRODUIT,3248650015365,MPX CR FRAICH EP ENT 30% 50CL,1.95,1.0
2025-09-25 09:34:37,44,,PRODUIT,8712100724572,ALSA LEVURE CHIMIQUE 88G,0.79,4.0
2025-09-25 09:34:37,44,,PRODUIT,3560071210717,30ML SERUM HYDRATANT NEC OFBIO,3.66,1.0
2025-09-25 09:34:37,44,,PRODUIT,3760294960356,ELIBIO CAFE MOULU 250G,3.52,5.0
2025-09-25 09:39:19,23,,PRODUIT,3560070627684,300ML SH.COLOR BOOST LCS KERA,2.3,3.0
2025-09-25 09:39:19,23,,VRAC,,courgette ronde tricolore,5.49,1.64
2025-09-25 09:39:19,23,,VRAC,,Patate Douce,3.99,1.88
2025-09-25 09:39:19,23,,PRODUIT,7613033590146,DOLCE GUS. LUNGO INT. X16CAP144G,5.61,4.0
2025-09-25 09:39:19,23,,PRODUIT,3326505201603,AIL FILET,3.49,1.0
2025-09-25 09:39:19,23,,PRODUIT,3042062109076,TISAN.THE VT BIO ANT.OXYD.30G,2.98,2.0
2025-09-25 09:39:19,23,,VRAC,,AVOCAT MÜR À POINT,1.3,1.63
2025-09-25 09:40:30,36,,VRAC,,"courgettes 
a l'indienne",5.5,1.14
2025-09-25 09:40:30,36,,VRAC,,Chou Kal,7.0,0.98
2025-09-25 09:40:30,36,,VRAC,,AVOCAT TROPICAL PIECE,2.99,0.47
2025-09-25 09:40:30,36,,PRODUIT,7613036217347,NESTLE GUIGOZ 2 BIO 800G,19.39,1.0
2025-09-25 09:40:30,36,,PRODUIT,3538392001208,PAPIER ALUMINUM RECYCLABLE 20M,4.99,5.0
2025-09-25 09:40:30,36,,PRODUIT,3073781191547,*VQR FROM FD P&C5P175G BX168UC,2.28,4.0
2025-09-25 09:40:30,36,,PRODUIT,5415191700809,BIO KIWI JAUNE BARQ.,5.2,4.0
2025-09-25 09:40:30,36,,PRODUIT,8711000523698,GRAND MERE,3.41,1.0
2025-09-25 09:40:30,36,,VRAC,,pomme de terre charlotte,2.25,0.28
2025-09-25 09:40:30,36,,PRODUIT,3256228125644,PUREE SESAME TAHIN U BIO 200G,3.59,1.0
2025-09-25 09:40:30,36,,VRAC,,POIVRON ROUGE VRAC,4.84,1.53
2025-09-25 09:40:30,36,,PRODUIT,3662487006028,glace pot 85g,2.0,2.0
2025-09-25 09:40:30,36,,PRODUIT,3178530410143,ST MICHEL MAD COQ PEPIT CH,2.68,1.0
